,Meeting_date,ddate
0,January 31 2023,2023-01-31 00:00:00
1,March 21 2023,2023-03-21 00:00:00
2,June 14 2023,2023-06-14 00:00:00
3,July 25 2023,2023-07-25 00:00:00
4,September 19 2023,2023-09-19 00:00:00
5,January 25 2022,2022-01-25 00:00:00
6,March 15 2022,2022-03-15 00:00:00
7,May 3 2022,2022-05-03 00:00:00
8,June 14 2022,2022-06-14 00:00:00
9,June 14-15 2022,2015-06-14 20:22:00
10,July 26 2022,2022-07-26 00:00:00
11,September 20 2022,2022-09-20 00:00:00
12,November 1 2022,2022-11-01 00:00:00
13,December 13 2022,2022-12-13 00:00:00
14,January 26 2021,2021-01-26 00:00:00
15,March 16 2021,2021-03-16 00:00:00
16,April 27 2021,2021-04-27 00:00:00
17,June 15 2021,2021-06-15 00:00:00
18,July 27 2021,2021-07-27 00:00:00
19,September 21 2021,2021-09-21 00:00:00
20,November 2 2021,2021-11-02 00:00:00
21,December 14 2021,2021-12-14 00:00:00
22,January 28 2020,2020-01-28 00:00:00
23,June 9 2020,2020-06-09 00:00:00
24,July 28 2020,2020-07-28 00:00:00
25,September 15 2020,2020-09-15 00:00:00
26,November 4 2020,2020-11-04 00:00:00
27,December 15 2020,2020-12-15 00:00:00
28,January 29 2019,2019-01-29 00:00:00
29,March 19 2019,2019-03-19 00:00:00
30,April 30 2019,2019-04-30 00:00:00
31,June 18 2019,2019-06-18 00:00:00
32,July 30 2019,2019-07-30 00:00:00
33,September 17 2019,2019-09-17 00:00:00
34,October 29 2019,2019-10-29 00:00:00
35,December 10 2019,2019-12-10 00:00:00
36,January 30 2018,2018-01-30 00:00:00
37,March 20 2018,2018-03-20 00:00:00
38,May 1 2018,2018-05-01 00:00:00
39,June 12 2018,2018-06-12 00:00:00
40,July 31 2018,2018-07-31 00:00:00
41,September 25 2018,2018-09-25 00:00:00
42,November 7 2018,2018-11-07 00:00:00
43,December 18 2018,2018-12-18 00:00:00
44,January 31 2017,2017-01-31 00:00:00
45,March 14 2017,2017-03-14 00:00:00
46,May 2 2017,2017-05-02 00:00:00
47,June 13 2017,2017-06-13 00:00:00
48,July 25 2017,2017-07-25 00:00:00
49,September 19 2017,2017-09-19 00:00:00
50,Oct 31 2017,2017-10-31 00:00:00
51,December 12 2017,2017-12-12 00:00:00
52,January 26 2016,2016-01-26 00:00:00
53,March 15 2016,2016-03-15 00:00:00
54,April 26 2016,2016-04-26 00:00:00
55,June 14 2016,2016-06-14 00:00:00
56,July 26 2016,2016-07-26 00:00:00
57,September 20 2016,2016-09-20 00:00:00
58,November 1 2016,2016-11-01 00:00:00
59,December 13 2016,2016-12-13 00:00:00
60,January 27 2015,2015-01-27 00:00:00
61,March 17 2015,2015-03-17 00:00:00
62,April 28 2015,2015-04-28 00:00:00
63,June 16 2015,2015-06-16 00:00:00
64,July 28 2015,2015-07-28 00:00:00
65,September 16 2015,2015-09-16 00:00:00
66,October 27 2015,2015-10-27 00:00:00
67,December 15 2015,2015-12-15 00:00:00
68,January 28 2014,2014-01-28 00:00:00
69,March 18 2014,2014-03-18 00:00:00
70,April 29 2014,2014-04-29 00:00:00
71,June 17 2014,2014-06-17 00:00:00
72,July 29 2014,2014-07-29 00:00:00
73,September 16 2014,2014-09-16 00:00:00
74,October 28 2014,2014-10-28 00:00:00
75,December 16 2014,2014-12-16 00:00:00
76,January 29 2013,2013-01-29 00:00:00
77,March 19 2013,2013-03-19 00:00:00
78,April 30 2013,2013-04-30 00:00:00
79,June 18 2013,2013-06-18 00:00:00
80,July 30 2013,2013-07-30 00:00:00
81,September 17 2013,2013-09-17 00:00:00
82,October 29 2013,2013-10-29 00:00:00
83,December 17 2013,2013-12-17 00:00:00
84,October 29 2013,2013-10-29 00:00:00
85,December 17 2013,2013-12-17 00:00:00
86,January 24 2012,2012-01-24 00:00:00
87,March 13 2012,2012-03-13 00:00:00
88,April 24 2012,2012-04-24 00:00:00
89,June 19 2012,2012-06-19 00:00:00
90,July 31 2012,2012-07-31 00:00:00
91,September 12 2012,2012-09-12 00:00:00
92,October 23 2012,2012-10-23 00:00:00
93,December 11 2012,2012-12-11 00:00:00
94,January 25 2011,2011-01-25 00:00:00
95,March 15 2011,2011-03-15 00:00:00
96,April 26 2011,2011-04-26 00:00:00
97,June 21 2011,2011-06-21 00:00:00
98,August 9 2011,2011-08-09 00:00:00
99,September 20 2011,2011-09-20 00:00:00
100,November 1 2011,2011-11-01 00:00:00
101,December 13 2011,2011-12-13 00:00:00
